完整英文名,名(Forename),姓(Surname),中文名
Jamie McKenzie,Jamie,McKenzie,杰米·麦肯齐
Rachel Collinson,Rachel,Collinson,雷切尔·科林森
Paul Reynolds,Paul,Reynolds,保罗·雷诺兹
Andy Uzoka,Andy,Uzoka,安迪·乌佐卡
Cydatty Bogie,Cydatty,Bogie,西达提·博吉
Rosie Cooper,Rosie,Cooper,罗西·库珀
Paul Greenall,Paul,Greenall,保罗·格里纳尔
Jack Sen,Jack,Sen,杰克·森
Ben Basson,Ben,Basson,本·巴森
Daniel Lewis,Daniel,Lewis,丹尼尔·刘易斯
David  Braid,David,Braid,戴维·布雷德
Matthew Hancock,Matthew,Hancock,马修·汉考克
Julian Flood,Julian,Flood,朱利安·弗拉德
Michael Jefferys,Michael,Jefferys,迈克尔·杰弗里斯
Elfreda Tealby-Watson,Elfreda,Tealby-Watson,埃尔弗雷达·蒂尔比-沃森
Niall Pettitt,Niall,Pettitt,尼亚尔·佩蒂特
Harriett Baldwin,Harriett,Baldwin,哈丽雅特·鲍德温
Richard Chamings,Richard,Chamings,理查德·查明斯
Daniel Walton,Daniel,Walton,丹尼尔·沃尔顿
Dennis Wharton,Dennis,Wharton,丹尼斯·沃顿
Julian Roskams,Julian,Roskams,朱利安·罗斯卡姆斯
Karen Buck,Karen,Buck,卡伦·巴克
Lindsey Hall,Lindsey,Hall,林赛·霍尔
Nigel Sussman,Nigel,Sussman,奈杰尔·萨斯曼
Kirsty Allan,Kirsty,Allan,柯斯蒂·艾伦
Jennifer Nadel,Jennifer,Nadel,珍妮弗·纳德尔
Gabriela Fajardo,Gabriela,Fajardo,加芙列拉·法哈尔多
Nicholas Ward,Nicholas,Ward,尼古拉斯·沃德
Tim Farron,Tim,Farron,蒂姆·法伦
Ann Myatt,Ann,Myatt,安·迈亚特
Alan Piper,Alan,Piper,艾伦·派珀
John Bateson,John,Bateson,约翰·贝特森
Chris Loynes,Chris,Loynes,克里斯·洛伊恩斯
John Penrose,John,Penrose,约翰·彭罗斯
Tim Taylor,Tim,Taylor,蒂姆·泰勒
Ernie Warrender,Ernie,Warrender,厄尼·沃伦德
John Munro,John,Munro,约翰·芒罗
Richard Lawson,Richard,Lawson,理查德·劳森
Ronald Lavelle,Ronald,Lavelle,罗纳德·拉韦尔
Lisa Nandy,Lisa,Nandy,丽莎·南迪
Caroline Kerswell,Caroline,Kerswell,卡罗琳·克斯韦尔
Mark Bradley,Mark,Bradley,马克·布拉德利
Will Patterson,Will,Patterson,威尔·帕特森
Richard Clayton,Richard,Clayton,理查德·克莱顿
Gareth Fairhurst,Gareth,Fairhurst,加雷思·费尔赫斯特
Brian Parr,Brian,Parr,布赖恩·帕尔
Stephen Hammond,Stephen,Hammond,斯蒂芬·哈蒙德
Andrew Judge,Andrew,Judge,安德鲁·贾奇
Shas Sheehan,Shas,Sheehan,沙斯·希恩
Peter Bucklitsch,Peter,Bucklitsch,彼得·布克利奇
Charles Barraball,Charles,Barraball,查尔斯·巴拉鲍尔
Steve Brine,Steve,Brine,史蒂夫·布赖恩
Jackie  Porter,Jackie,Porter,杰基·波特
Mark Chaloner,Mark,Chaloner,马克·查隆纳
Martin Lyon,Martin,Lyon,马丁·里昂
Michael Wilks,Michael,Wilks,迈克尔·威尔克斯
Adam Afriyie,Adam,Afriyie,亚当·阿弗里耶
Fiona Dent,Fiona,Dent,菲奥娜·登特
Tariq Malik,Tariq,Malik,塔里克·马利克
George Fussey,George,Fussey,乔治·富西
Derek Wall,Derek,Wall,德里克·沃尔
Wisdom Da Costa,Wisdom,Da Costa,威兹德姆·达科斯塔
Alison McGovern,Alison,McGovern,艾莉森·麦戈文
John Bell,John,Bell,约翰·贝尔
David Scott,David,Scott,戴维·斯科特
Elizabeth Jewkes,Elizabeth,Jewkes,伊丽莎白·朱克斯
Paul Cartlidge,Paul,Cartlidge,保罗·卡特利奇
Margaret Greenwood,Margaret,Greenwood,玛格丽特·格林伍德
Esther McVey,Esther,McVey,埃丝特·麦克维
Hilary Jones,Hilary,Jones,希拉里·琼斯
Peter Reisdorf,Peter,Reisdorf,彼得·雷斯多夫
David James,David,James,戴维·詹姆斯
Priti Patel,Priti,Patel,普丽蒂·帕特尔
Garry Cockrill,Garry,Cockrill,加里·科克里尔
John Clarke,John,Clarke,约翰·克拉克
Jo Hayes,Jo,Hayes,乔·海斯
James Abbott,James,Abbott,詹姆斯·阿博特
Doreen Scrimshaw,Doreen,Scrimshaw,多琳·斯克瑞姆肖
David Cameron,David,Cameron,戴维·卡梅伦
Duncan Enright,Duncan,Enright,邓肯·恩赖特
Simon Strutt,Simon,Strutt,西蒙·斯特拉特
Andrew Graham,Andrew,Graham,安德鲁·格雷厄姆
Stuart  Macdonald,Stuart,Macdonald,斯图尔特·麦克唐纳
Clive Peedell,Clive,Peedell,克莱夫·皮德尔
Colin Bex,Colin,Bex,科林·贝克斯
Chris Tompson,Chris,Tompson,克里斯·汤普森
Vivien  Saunders,Vivien,Saunders,维维恩·桑德斯
Bobby Smith,Bobby,Smith,博比·史密斯
Deek Jackson,Deek,Jackson,迪克·杰克逊
Nathan Handley,Nathan,Handley,内森·汉德利
Jonathan Lord,Jonathan,Lord,乔纳森·洛德
Jill Rawling,Jill,Rawling,吉尔·罗林
Chris Took,Chris,Took,克里斯·图克
Rob Burberry,Rob,Burberry,罗布·伯贝里
Martin Robson,Martin,Robson,马丁·罗布森
Declan Wade,Declan,Wade,迪克兰·韦德
Ruth Temple,Ruth,Temple,鲁思·坦普尔
Angela Woolford,Angela,Woolford,安杰拉·伍尔福德
John Redwood,John,Redwood,约翰·雷德伍德
Andy Croy,Andy,Croy,安迪·克罗伊
Clive Jones,Clive,Jones,克莱夫·琼斯
Philip Cunnington,Philip,Cunnington,菲利普·坎宁顿
Adrian Windisch,Adrian,Windisch,阿德里安·温迪施
Kaz Lokuciewski,Kaz,Lokuciewski,卡兹·洛库西维斯基
Emma Reynolds,Emma,Reynolds,埃玛·雷诺兹
Darren Henry,Darren,Henry,达伦·亨利
Star Etheridge,Star,Etheridge,斯达·以太
Ian Jenkins,Ian,Jenkins,伊恩·詹金斯
Becky Cooper,Becky,Cooper,贝基·库珀
Pat McFadden,Pat,McFadden,帕特·麦克法登
Suria Photay,Suria,Photay,苏里亚·福泰
Barry Hodgson,Barry,Hodgson,巴里·霍奇森
Ian Griffiths,Ian,Griffiths,伊恩·格里菲斯
Geeta Kauldhar,Geeta,Kauldhar,吉塔·考尔德哈
Rob Marris,Rob,Marris,罗布·马里斯
Paul Uppal,Paul,Uppal,保罗·乌帕尔
Dave Everett,Dave,Everett,戴夫·埃弗里特
Andrea Cantrill,Andrea,Cantrill,安德烈娅·坎特里尔
Neale Upstone,Neale,Upstone,尼尔·阿普斯通
Brian Booth,Brian,Booth,布赖恩·布斯
Robin Walker,Robin,Walker,罗宾·沃克
Joy Squires,Joy,Squires,乔伊·斯夸尔斯
James Goad,James,Goad,詹姆斯·戈德
Louis Stephen,Louis,Stephen,路易斯·斯蒂芬
Federica Smith,Federica,Smith,费代丽卡·史密斯
Pete McNally,Pete,McNally,皮特·麦克纳利
Mark Shuker,Mark,Shuker,马克·舒克
Sue Hayman,Sue,Hayman,苏·海曼
Rozila Kana,Rozila,Kana,罗齐拉·卡纳
Mark Jenkinson,Mark,Jenkinson,马克·詹金森
Phill Roberts,Phill,Roberts,菲尔·罗伯茨
Jill Perry,Jill,Perry,吉尔·佩里
Roy Ivinson,Roy,Ivinson,罗伊·伊文森
Barbara Keeley,Barbara,Keeley,芭芭拉·基利
Iain Lindley,Iain,Lindley,伊恩·林德利
Owen Hammond,Owen,Hammond,欧文·哈蒙德
Chris Bertenshaw,Chris,Bertenshaw,克里斯·伯特肖
Kate  Clarkson,Kate,Clarkson,凯特·克拉克森
Steven North,Steven,North,史蒂文·诺思
Mags McNally,Mags,McNally,玛格斯·麦克纳利
Geoffrey Berg,Geoffrey,Berg,杰弗里·伯格
Peter Bottomley,Peter,Bottomley,彼得·博顿利
Tim Cross,Tim,Cross,蒂姆·克罗斯
Jim Deen,Jim,Deen,吉姆·迪恩
Hazel Thorpe,Hazel,Thorpe,黑兹尔·索普
David Aherne,David,Aherne,戴维·阿赫恩
Steve Baker,Steve,Baker,史蒂夫·贝克
David Williams,David,Williams,戴维·威廉斯
David Meacock,David,Meacock,戴维·米科克
Steve Guy,Steve,Guy,史蒂夫·盖伊
Jem Bailey,Jem,Bailey,杰姆·贝利
David Fitton,David,Fitton,戴维·菲顿
Ben Wallace,Ben,Wallace,本·华莱士
Ben Whittingham,Ben,Whittingham,本·惠廷厄姆
Kate Walsh,Kate,Walsh,凯特·沃尔什
John Potter,John,Potter,约翰·波特
Anne Power,Anne,Power,安妮·鲍尔
Mark Garnier,Mark,Garnier,马克·加尼尔
Matt Lamb,Matt,Lamb,马特·兰姆
Michael Wrench,Michael,Wrench,迈克尔·伦奇
Richard Taylor,Richard,Taylor,理查德·泰勒
Andy Crick,Andy,Crick,安迪·克里克
Natalie McVey,Natalie,McVey,娜塔莉·麦克维
Mike Kane,Mike,Kane,迈克·凯恩
Fiona Green,Fiona,Green,菲奥娜·格林
Lee Clayton,Lee,Clayton,李·克莱顿
Victor Chamberlain,Victor,Chamberlain,维克托·张伯伦
Jess Mayo,Jess,Mayo,杰斯·梅奥
Johnny Disco,Johnny,Disco,约翰尼·迪斯科
Lynn Worthington,Lynn,Worthington,林恩·沃辛顿
Marcus Fysh,Marcus,Fysh,马库斯·菲什
David Laws,David,Laws,戴维·劳斯
Simon Smedley,Simon,Smedley,西蒙·斯梅德利
Sheena King,Sheena,King,希娜·金
Emily McIvor,Emily,McIvor,艾米莉·麦基弗
Rachael Maskell,Rachael,Maskell,拉切尔·马斯克尔
Robert McIlveen,Robert,McIlveen,罗伯特·麦基尔文
Ken Guest,Ken,Guest,肯·格斯特
Jonathan Tyler,Jonathan,Tyler,乔纳森·泰勒
Nick Love,Nick,Love,尼克·洛夫
Chris Whitwood,Chris,Whitwood,克里斯·惠特伍德
Megan Ollerhead,Megan,Ollerhead,梅根·奥勒黑德
Julian Sturdy,Julian,Sturdy,朱利安·斯特迪
Joseph Riches,Joseph,Riches,约瑟夫·里奇斯
James Blanchard,James,Blanchard,詹姆斯·布兰查德
Paul Abbott,Paul,Abbott,保罗·阿博特
Ginnie Shaw,Ginnie,Shaw,金妮·肖
Gavin Robinson,Gavin,Robinson,加文·罗宾逊
Naomi Long,Naomi,Long,娜奥米·朗
Neil Wilson,Neil,Wilson,尼尔·威尔逊
Ross Brown,Ross,Brown,罗斯·布朗
Niall O Donnghaile,Niall,O Donnghaile,尼尔·奥唐奈海尔
Mary Muldoon,Mary,Muldoon,玛丽·马龙
Nigel Dodds,Nigel,Dodds,奈杰尔·多兹
Gerry Kelly,Gerry,Kelly,格里·凯利
Alban Maginness,Alban,Maginness,阿尔班·马金尼斯
Jason O'Neill,Jason,O'Neill,贾森·奥尼尔
Gemma Weir,Gemma,Weir,杰玛·威尔
Fra Hughes,Fra,Hughes,弗拉·休斯
Alasdair McDonnell,Alasdair,McDonnell,阿拉斯代尔·麦克唐奈
Jonathan Bell,Jonathan,Bell,乔纳森·贝尔
Paula Bradshaw,Paula,Bradshaw,保拉·布拉德肖
Mairtin O Muilleoir,Mairtin,O Muilleoir,马丁·奥·穆利尔
Rodney McCune,Rodney,McCune,罗德尼·麦丘恩
Clare Bailey,Clare,Bailey,克莱尔·贝利
Bob Stoker,Bob,Stoker,鲍勃·斯托克
Ben Manton,Ben,Manton,本·曼顿
Lily Kerr,Lily,Kerr,莉莉·克尔
Paul Maskey,Paul,Maskey,保罗·马斯基
Gerry  Carroll,Gerry,Carroll,格里·卡罗尔
Alex Attwood,Alex,Attwood,亚历克斯·阿特伍德
Frank McCoubrey,Frank,McCoubrey,弗兰克·麦考布里
Bill Manwaring,Bill,Manwaring,比尔·曼瓦林
Brian Higginson,Brian,Higginson,布赖恩·希金森
Gerard Catney,Gerard,Catney,杰勒德·卡特尼
John Lowry,John,Lowry,约翰·劳里
Paul Shea,Paul,Shea,保罗·谢伊
Sammy Wilson,Sammy,Wilson,萨米·威尔逊
Roy Beggs,Roy,Beggs,罗伊·贝格斯
Stewart Dickson,Stewart,Dickson,斯图尔特·迪克森
Noel Jordan,Noel,Jordan,诺埃尔·乔丹
Oliver McMullan,Oliver,McMullan,奥利弗·麦克马伦
Ruth Wilson,Ruth,Wilson,鲁思·威尔逊
Margaret Anne McKillop,Margaret Anne,McKillop,玛格丽特·安妮·麦基洛普
Alex Wilson,Alex,Wilson,亚历克斯·威尔逊
Gregory Campbell,Gregory,Campbell,格雷戈里·坎贝尔
Caoimhe Archibald,Caoimhe,Archibald,卡奥伊米·阿奇博尔德
William McCandless,William,McCandless,威廉·麦坎德利斯
Gerry Mullan,Gerry,Mullan,格里·马伦
Yvonne Boyle,Yvonne,Boyle,伊冯·博伊尔
Neil  Paine,Neil,Paine,尼尔·佩因
Elizabeth St Clair-Legge,Elizabeth,St Clair-Legge,伊丽莎白·圣克莱尔-莱格
Tom Elliott,Tom,Elliott,汤姆·埃利奥特
Michelle Gildernew,Michelle,Gildernew,米歇尔·吉尔德纽
John Coyle,John,Coyle,约翰·科伊尔
Tanya Jones,Tanya,Jones,塔尼娅·琼斯
Hannah Su,Hannah,Su,汉娜·苏
Mark Durkan,Mark,Durkan,马克·德坎
Gearoid O hEara,Gearoid,O hEara,盖罗伊德·奥哈拉
Gary Middleton,Gary,Middleton,加里·米德尔顿
Julia Kee,Julia,Kee,朱莉娅·基
David Hawthorne,David,Hawthorne,戴维·霍索恩
Kyle Thompson,Kyle,Thompson,凯尔·汤普森
Hamish Badenoch,Hamish,Badenoch,哈米什·巴登诺克
Jeffrey Donaldson,Jeffrey,Donaldson,杰弗里·唐纳森
Alexander Redpath,Alexander,Redpath,亚历山大·雷德帕思
Trevor Lunn,Trevor,Lunn,特雷弗·伦恩
Pat Catney,Pat,Catney,帕特·卡特尼
Alan Love,Alan,Love,艾伦·洛夫
Samuel Morrison,Samuel,Morrison,塞缪尔·莫里森
Jacqui McGeough,Jacqui,McGeough,杰奎·麦高
Jonny Orr,Jonny,Orr,乔尼·奥尔
Helen Osborne,Helen,Osborne,海伦·奥斯本
Francie Molloy,Francie,Molloy,弗兰基·莫洛伊
Sandra Overend,Sandra,Overend,桑德拉·奥弗伦德
Ian McCrea,Ian,McCrea,伊恩·麦格雷
Malachy Quinn,Malachy,Quinn,马拉基·奎因
Gareth Ferguson,Gareth,Ferguson,加雷思·弗格森
Alan Day,Alan,Day,艾伦·戴
Eric Bullick,Eric,Bullick,埃里克·布利克
Hugh Scullion,Hugh,Scullion,休·斯库利恩
Lucille Nicholson,Lucille,Nicholson,露西尔·尼科尔森
Mickey Brady,Mickey,Brady,米基·布雷迪
Danny  Kennedy,Danny,Kennedy,丹尼·肯尼迪
Justin McNulty,Justin,McNulty,贾斯廷·麦克纳尔蒂
Kate Nicholl,Kate,Nicholl,凯特·尼科尔
Robert Rigby,Robert,Rigby,罗伯特·里格比
Ian Paisley,Ian,Paisley,伊恩·佩斯利
Timothy Gaston,Timothy,Gaston,蒂莫西·加斯顿
Daithi McKay,Daithi,McKay,代西·麦凯
Robin Swann,Robin,Swann,罗宾·斯旺
Declan O'Loan,Declan,O'Loan,迪克兰·奥洛安
Jayne Dunlop,Jayne,Dunlop,杰恩·邓洛普
Robert Hill,Robert,Hill,罗伯特·希尔
Carol Freeman,Carol,Freeman,卡罗尔·弗里曼
Thomas Palmer,Thomas,Palmer,托马斯·帕尔默
Sylvia Hermon,Sylvia,Hermon,西尔维娅·赫蒙
Alex Easton,Alex,Easton,亚历克斯·伊斯顿
Andrew Muir,Andrew,Muir,安德鲁·缪尔
Steven Agnew,Steven,Agnew,史蒂文·阿格纽
Mark Brotherston,Mark,Brotherston,马克·布拉泽斯顿
Jonny Lavery,Jonny,Lavery,乔尼·莱弗里
William Cudworth,William,Cudworth,威廉·卡德沃思
Tom Woolley,Tom,Woolley,汤姆·伍利
Glenn Donnelly,Glenn,Donnelly,格伦·唐纳利
Therese McCartney,Therese,McCartney,特蕾丝·麦卡特尼
Danny  Kinahan,Danny,Kinahan,丹尼·基纳汉
Robert McCrea,Robert,McCrea,罗伯特·麦格雷
Declan Kearney,Declan,Kearney,迪克兰·卡尼
Neil Kelly,Neil,Kelly,尼尔·凯利
Roisin Lynch,Roisin,Lynch,罗伊辛·林奇
Richard Cairns,Richard,Cairns,理查德·凯恩斯
Alan Dunlop,Alan,Dunlop,艾伦·邓洛普
Margaret Ritchie,Margaret,Ritchie,玛格丽特·里奇
Chris Hazzard,Chris,Hazzard,克里斯·哈扎德
Harold McKee,Harold,McKee,哈罗德·麦基
Jim Wells,Jim,Wells,吉姆·韦尔斯
Henry Reilly,Henry,Reilly,亨利·赖利
Martyn Todd,Martyn,Todd,马丁·托德
Felicity Buchan,Felicity,Buchan,费利西蒂·布坎
Jim Shannon,Jim,Shannon,吉姆·香农
Robert Burgess,Robert,Burgess,罗伯特·伯吉斯
Kellie Armstrong,Kellie,Armstrong,凯莉·阿姆斯特朗
Joe Boyle,Joe,Boyle,乔·博伊尔
Joe Jordan,Joe,Jordan,乔·乔丹
Johnny Andrews,Johnny,Andrews,约翰尼·安德鲁斯
Stephen Cooper,Stephen,Cooper,斯蒂芬·库珀
Sheila Bailie,Sheila,Bailie,希拉·贝利
David Simpson,David,Simpson,戴维·辛普森
Jo-Anne Dobson,Jo-Anne,Dobson,乔-安妮·多布森
Catherine Seeley,Catherine,Seeley,凯瑟琳·西利
Dolores Kelly,Dolores,Kelly,多洛雷斯·凯利
Peter Lavery,Peter,Lavery,彼得·莱弗里
Martin  Kelly,Martin,Kelly,马丁·凯利
Damien Harte,Damien,Harte,达米恩·哈特
Amandeep  Bhogal,Amandeep,Bhogal,阿曼迪普·博加尔
Pat Doherty,Pat,Doherty,帕特·多尔蒂
Tom Buchanan,Tom,Buchanan,汤姆·布坎南
Daniel McCrossan,Daniel,McCrossan,丹尼尔·麦克罗桑
Ross Hussey,Ross,Hussey,罗斯·哈西
Stephen Donnelly,Stephen,Donnelly,斯蒂芬·唐纳利
Ciaran McClean,Ciaran,McClean,基兰·麦克林
Barry Brown,Barry,Brown,巴里·布朗
Claire-Louise Leyland,Claire-Louise,Leyland,克莱尔-路易丝·莱兰
Susan Anne White,Susan Anne,White,苏珊·安妮·怀特
Kirsty Blackman,Kirsty,Blackman,柯斯蒂·布莱克曼
Richard Baker,Richard,Baker,理查德·贝克
Sanjoy Sen,Sanjoy,Sen,桑乔伊·森
Euan Davidson,Euan,Davidson,尤安·戴维森
Tyrinne Rutherford,Tyrinne,Rutherford,泰林·卢瑟福
Christopher Willett,Christopher,Willett,克里斯托弗·威利特
Callum McCaig,Callum,McCaig,卡勒姆·麦凯格
Anne Begg,Anne,Begg,安妮·贝格
Ross Thomson,Ross,Thomson,罗斯·汤姆森
Denis Rixson,Denis,Rixson,丹尼斯·里克森
Dan Yeats,Dan,Yeats,丹·耶茨
Sandra Skinner,Sandra,Skinner,桑德拉·斯金纳
Christopher Gray,Christopher,Gray,克里斯托弗·格雷
Neil Gray,Neil,Gray,尼尔·格雷
Pamela Nash,Pamela,Nash,帕梅拉·纳什
Eric Holford,Eric,Holford,埃里克·霍尔福德
Matt Williams,Matt,Williams,马特·威廉斯
John Love,John,Love,约翰·洛夫
Deryck Beaumont,Deryck,Beaumont,德里克·博蒙特
Mike Weir,Mike,Weir,迈克·威尔
Derek Wann,Derek,Wann,德里克·万
Gerard McMahon,Gerard,McMahon,杰勒德·麦克马洪
Calum Walker,Calum,Walker,卡勒姆·沃克
Sanjay Samani,Sanjay,Samani,桑杰·萨马尼
David Mumford,David,Mumford,戴维·芒福德
Brendan O'Hara,Brendan,O'Hara,布伦丹·奥哈拉
Alan Reid,Alan,Reid,艾伦·里德
Alastair Redman,Alastair,Redman,阿拉斯泰尔·雷德曼
Mary Galbraith,Mary,Galbraith,玛丽·加尔布雷斯
Caroline Santos,Caroline,Santos,卡罗琳·桑托斯
Corri Wilson,Corri,Wilson,科里·威尔逊
Sandra Osborne,Sandra,Osborne,桑德拉·奥斯本
Scott Lyons,Scott,Lyons,斯科特·莱昂斯
Joseph Adam-Smith,Joseph,Adam-Smith,约瑟夫·亚当-史密斯
Richard Brodie,Richard,Brodie,理查德·布罗迪
Eilidh Whiteford,Eilidh,Whiteford,伊莉德·怀特福德
Alex Johnstone,Alex,Johnstone,亚历克斯·约翰斯通
Sumon Hoque,Sumon,Hoque,苏蒙·霍克
David Evans,David,Evans,戴维·埃文斯
Calum Kerr,Calum,Kerr,卡勒姆·克尔
John Lamont,John,Lamont,约翰·拉蒙特
Michael Moore,Michael,Moore,迈克尔·穆尔
Kenryck Lloyd-Jones,Kenryck,Lloyd-Jones,肯里克·劳埃德-琼斯
Peter Neilson,Peter,Neilson,彼得·尼尔森
Pauline Stewart,Pauline,Stewart,波林·斯图尔特
Jesse Rae,Jesse,Rae,杰西·雷
Paul Monaghan,Paul,Monaghan,保罗·莫纳汉
John Thurso,John,Thurso,约翰·瑟索
John Erskine,John,Erskine,约翰·厄斯金
Alastair Graham,Alastair,Graham,阿拉斯泰尔·格雷厄姆
Ann  Murray,Ann,Murray,安·默里
Philippa Whitford,Philippa,Whitford,菲利帕·惠特福德
Brian Donohoe,Brian,Donohoe,布赖恩·多诺霍
Marc Hope,Marc,Hope,马克·霍普
Gordon Bain,Gordon,Bain,戈登·贝恩
Veronika Tudhope,Veronika,Tudhope,维罗妮卡·图德霍普
Philip Boswell,Philip,Boswell,菲利普·博斯韦尔
Tom Clarke,Tom,Clarke,汤姆·克拉克
Mhairi Fraser,Mhairi,Fraser,姆哈里·弗雷泽
Scott Cairns,Scott,Cairns,斯科特·凯恩斯
Robert Simpson,Robert,Simpson,罗伯特·辛普森
Stuart McDonald,Stuart,McDonald,斯图尔特·麦克唐纳
Gregg McClymont,Gregg,McClymont,格雷格·麦克莱蒙特
Malcolm Mackay,Malcolm,Mackay,马尔科姆·麦凯
John Duncan,John,Duncan,约翰·邓肯
Richard  Arkless,Richard,Arkless,理查德·阿克勒斯
Finlay Carson,Finlay,Carson,芬利·卡森
Russell Brown,Russell,Brown,罗素·布朗
Geoff Siddall,Geoff,Siddall,杰夫·西德尔
Andrew Metcalf,Andrew,Metcalf,安德鲁·梅特卡夫
David Mundell,David,Mundell,戴维·芒德尔
Emma Harper,Emma,Harper,埃玛·哈珀
Archie Dryburgh,Archie,Dryburgh,阿奇·德赖堡
Kevin Newton,Kevin,Newton,凯文·牛顿
Amanda Kubie,Amanda,Kubie,阿曼达·库比
Jody Jamieson,Jody,Jamieson,乔迪·詹姆斯顿
Stewart Hosie,Stewart,Hosie,斯图尔特·霍西
Lesley Brennan,Lesley,Brennan,莱斯利·布伦南
Bill Bowman,Bill,Bowman,比尔·鲍曼
Craig Duncan,Craig,Duncan,克雷格·邓肯
Helen Grayshan,Helen,Grayshan,海伦·格雷尚
Lesley Parker-Hamilton,Lesley,Parker-Hamilton,莱斯利·帕克-汉密尔顿
Carlo Morelli,Carlo,Morelli,卡洛·莫雷利
Chris Law,Chris,Law,克里斯·劳
Michael Marra,Michael,Marra,迈克尔·马拉
Nicola Ross,Nicola,Ross,尼古拉·罗斯
Pauline Hinchion,Pauline,Hinchion,波林·欣钦
Daniel Coleman,Daniel,Coleman,丹尼尔·科尔曼
Jim McFarlane,Jim,McFarlane,吉姆·麦克法兰
Douglas Chapman,Douglas,Chapman,道格拉斯·查普曼
Thomas Docherty,Thomas,Docherty,托马斯·多彻蒂
James Reekie,James,Reekie,詹姆斯·里基
Gillian Cole-Hamilton,Gillian,Cole-Hamilton,吉莉安·科尔-汉密尔顿
Lewis Campbell,Lewis,Campbell,刘易斯·坎贝尔
John Nicolson,John,Nicolson,约翰·尼科尔森
Jo Swinson,Jo,Swinson,乔·斯温森
Amanjit Jhund,Amanjit,Jhund,阿曼吉特·琼德
Andrew Polson,Andrew,Polson,安德鲁·波尔森
Ross Greer,Ross,Greer,罗斯·格里尔
Wilfred Arasaratnam,Wilfred,Arasaratnam,威尔弗雷德·阿拉萨拉特南
Lisa Cameron,Lisa,Cameron,丽莎·卡梅伦
Michael McCann,Michael,McCann,迈克尔·麦卡恩
Graham Simpson,Graham,Simpson,格雷厄姆·辛普森
Rob Sale,Rob,Sale,罗布·塞尔
Paul McGarry,Paul,McGarry,保罗·麦加里
John Houston,John,Houston,约翰·休斯顿
George  Kerevan,George,Kerevan,乔治·凯雷万
Fiona O'Donnell,Fiona,O'Donnell,菲奥娜·奥唐奈
David Roach,David,Roach,戴维·罗奇
Ettie Spencer,Ettie,Spencer,埃蒂·斯宾塞
Jason Rose,Jason,Rose,贾森·罗斯
Oluf Marshall,Oluf,Marshall,奥鲁夫·马歇尔
Mike Allan,Mike,Allan,迈克·阿伦
Kirsten Oswald,Kirsten,Oswald,柯尔斯滕·奥斯瓦尔德
Jim Murphy,Jim,Murphy,吉姆·墨菲
David Montgomery,David,Montgomery,戴维·蒙哥马利
Graeme Cowie,Graeme,Cowie,格雷姆·考伊
Robert Malyn,Robert,Malyn,罗伯特·马林
Tommy Sheppard,Tommy,Sheppard,汤米·谢泼德
Sheila Gilmore,Sheila,Gilmore,希拉·吉尔摩
James McMordie,James,McMordie,詹姆斯·麦克莫迪
Peter McColl,Peter,McColl,彼得·麦科尔
Karen Utting,Karen,Utting,卡伦·厄廷
Oliver Corbishley,Oliver,Corbishley,奥利弗·科比什利
Ayesha Saleem,Ayesha,Saleem,阿伊莎·萨利姆
Deidre Brock,Deidre,Brock,迪尔德丽·布罗克
Mark Lazarowicz,Mark,Lazarowicz,马克·拉扎罗维奇
Iain McGill,Iain,McGill,伊恩·麦吉尔
Sarah Beattie-Smith,Sarah,Beattie-Smith,莎拉·贝蒂-史密斯
Martin Veart,Martin,Veart,马丁·维尔特
Alan Melville,Alan,Melville,艾伦·梅尔维尔
Bruce Whitehead,Bruce,Whitehead,布鲁斯·怀特海德
Ian Murray,Ian,Murray,伊恩·默里
Neil Hay,Neil,Hay,尼尔·海
Miles Briggs,Miles,Briggs,迈尔斯·布里格斯
Phyl Meyer,Phyl,Meyer,菲尔·迈耶
Pramod Subbaraman,Pramod,Subbaraman,普拉蒙德·苏巴拉曼
Paul Marshall,Paul,Marshall,保罗·马歇尔
Colin Fox,Colin,Fox,科林·福克斯
Joanna Cherry,Joanna,Cherry,乔安娜·切里
Ricky Henderson,Ricky,Henderson,里基·亨德森
Gordon Lindhurst,Gordon,Lindhurst,戈登·林德赫斯特
Richard Doherty,Richard,Doherty,理查德·多尔蒂
Daniel Farthing-Sykes,Daniel,Farthing-Sykes,丹尼尔·法辛-赛克斯
Richard Lucas,Richard,Lucas,理查德·卢卡斯
Michelle Thomson,Michelle,Thomson,米歇尔·汤姆森
Mike Crockart,Mike,Crockart,迈克·克罗卡特
Lindsay Paterson,Lindsay,Paterson,林赛·佩特森
Cammy Day,Cammy,Day,卡米·戴
Pat Black,Pat,Black,帕特·布莱克
George Inglis,George,Inglis,乔治·英格利斯
Angus MacNeil,Angus,MacNeil,安格斯·麦克尼尔
Alasdair Morrison,Alasdair,Morrison,阿拉斯代尔·莫里森
Mark Brown,Mark,Brown,马克·布朗
John Cormack,John,Cormack,约翰·科马克
Ruaraidh Ferguson,Ruaraidh,Ferguson,鲁阿瑞德·弗格森
John McNally,John,McNally,约翰·麦克纳利
Karen Whitefield,Karen,Whitefield,卡伦·怀特菲尔德
Alison Harris,Alison,Harris,艾莉森·哈里斯
David Coburn,David,Coburn,戴维·科伯恩
Galen Milne,Galen,Milne,盖伦·米尔恩
Alison Thewliss,Alison,Thewliss,艾莉森·特维斯
Anas Sarwar,Anas,Sarwar,阿纳斯·萨尔瓦
